Extracting baserom with 4 CPU cores.
extracting baserom/ovl_Bg_Spot11_Bakudankabe (0x00C335B0, 0x00C33BF0)
extracting baserom/ovl_Bg_Spot11_Oasis (0x00C33BF0, 0x00C34320)
extracting baserom/ovl_Bg_Spot12_Gate (0x00C34320, 0x00C34730)
extracting baserom/ovl_Bg_Spot12_Saku (0x00C34730, 0x00C34BF0)
extracting baserom/ovl_Bg_Spot15_Rrbox (0x00C34BF0, 0x00C359D0)
extracting baserom/ovl_Bg_Spot15_Saku (0x00C359D0, 0x00C35D10)
extracting baserom/ovl_Bg_Spot16_Bombstone (0x00C35D10, 0x00C37260)
extracting baserom/ovl_Bg_Spot16_Doughnut (0x00C37260, 0x00C37820)
extracting baserom/ovl_Bg_Spot17_Bakudankabe (0x00C37820, 0x00C37F10)
extracting baserom/ovl_Bg_Spot17_Funen (0x00C37F10, 0x00C38160)
extracting baserom/ovl_Bg_Spot18_Basket (0x00C38160, 0x00C39150)
extracting baserom/ovl_Bg_Spot18_Futa (0x00C39150, 0x00C392F0)
extracting baserom/ovl_Bg_Spot18_Obj (0x00C392F0, 0x00C39BC0)
extracting baserom/ovl_Bg_Spot18_Shutter (0x00C39BC0, 0x00C3A110)
extracting baserom/ovl_Bg_Sst_Floor (0x00C3A110, 0x00C3A670)
extracting baserom/ovl_Bg_Toki_Hikari (0x00C3A670, 0x00C3B410)
extracting baserom/ovl_Bg_Toki_Swd (0x00C3B410, 0x00C3CA60)
extracting baserom/ovl_Bg_Treemouth (0x00C3CA60, 0x00C3E0C0)
extracting baserom/ovl_Bg_Umajump (0x00C3E0C0, 0x00C3E250)
extracting baserom/ovl_Bg_Vb_Sima (0x00C3E250, 0x00C3E970)
extracting baserom/ovl_Bg_Ydan_Hasi (0x00C3E970, 0x00C3F120)
extracting baserom/ovl_Bg_Ydan_Maruta (0x00C3F120, 0x00C3F800)
extracting baserom/ovl_Bg_Ydan_Sp (0x00C3F800, 0x00C40F20)
extracting baserom/ovl_Bg_Zg (0x00C40F20, 0x00C41370)
extracting baserom/ovl_Boss_Dodongo (0x00C41370, 0x00C4AE70)
extracting baserom/ovl_Boss_Fd (0x00C4AE70, 0x00C521D0)
extracting baserom/ovl_Boss_Fd2 (0x00C521D0, 0x00C55F00)
extracting baserom/ovl_Boss_Ganon (0x00C55F00, 0x00C781B0)
extracting baserom/ovl_Boss_Ganon2 (0x00C781B0, 0x00C89500)
extracting baserom/ovl_Boss_Ganondrof (0x00C89500, 0x00C8E290)
extracting baserom/ovl_Boss_Goma (0x00C8E290, 0x00C94230)
extracting baserom/ovl_Boss_Mo (0x00C94230, 0x00C9FD00)
extracting baserom/ovl_Boss_Sst (0x00C9FD00, 0x00CAC290)
extracting baserom/ovl_Boss_Tw (0x00CAC290, 0x00CBF3E0)
extracting baserom/ovl_Boss_Va (0x00CBF3E0, 0x00CCDC70)
extracting baserom/ovl_Demo_6K (0x00CCDC70, 0x00CD09D0)
extracting baserom/ovl_Demo_Du (0x00CD09D0, 0x00CD41B0)
extracting baserom/ovl_Demo_Ec (0x00CD41B0, 0x00CD7A10)
