Index,File,Are equals,Size in ntsc_1.0,Size in ntsc_1.1,Size proportion,Size difference,Bytes different,Words different,Opcodes difference,Same opcode but different arguments
65,ovl_En_Zl1 data,False,8528,8528,1.0,0,33,26,,
65,ovl_En_Zl1 rodata,False,80,80,1.0,0,19,17,,
65,ovl_En_Zl1 reloc,True,472,472,1.0,0,0,0,,
66,ovl_En_Viewer text,False,11104,11104,1.0,0,48,38,0,38
66,ovl_En_Viewer data,False,304,304,1.0,0,17,12,,
66,ovl_En_Viewer rodata,False,80,80,1.0,0,10,8,,
66,ovl_En_Viewer bss,True,32,32,1.0,0,0,0,,
66,ovl_En_Viewer reloc,True,412,412,1.0,0,0,0,,
67,ovl_En_Goma text,False,10256,10256,1.0,0,70,65,0,65
67,ovl_En_Goma data,False,256,256,1.0,0,4,4,,
67,ovl_En_Goma rodata,True,160,160,1.0,0,0,0,,
67,ovl_En_Goma reloc,True,704,704,1.0,0,0,0,,
68,ovl_Bg_Pushbox text,False,624,624,1.0,0,1,1,0,1
68,ovl_Bg_Pushbox data,False,48,48,1.0,0,5,4,,
68,ovl_Bg_Pushbox rodata,True,16,16,1.0,0,0,0,,
68,ovl_Bg_Pushbox reloc,True,44,44,1.0,0,0,0,,
69,ovl_En_Bubble text,False,4624,4624,1.0,0,36,34,0,34
69,ovl_En_Bubble data,False,160,160,1.0,0,8,5,,
69,ovl_En_Bubble rodata,True,64,64,1.0,0,0,0,,
69,ovl_En_Bubble reloc,True,280,280,1.0,0,0,0,,
70,ovl_Door_Shutter text,False,7696,7696,1.0,0,62,58,0,58
70,ovl_Door_Shutter data,False,544,544,1.0,0,10,8,,
70,ovl_Door_Shutter rodata,True,48,48,1.0,0,0,0,,
70,ovl_Door_Shutter reloc,True,508,508,1.0,0,0,0,,
71,ovl_En_Dodojr text,False,6880,6880,1.0,0,42,42,0,42
71,ovl_En_Dodojr data,False,224,224,1.0,0,7,4,,
71,ovl_En_Dodojr rodata,True,48,48,1.0,0,0,0,,
71,ovl_En_Dodojr reloc,True,652,652,1.0,0,0,0,,
72,ovl_En_Bdfire text,False,2688,2688,1.0,0,13,11,0,11
72,ovl_En_Bdfire data,False,64,64,1.0,0,7,4,,
72,ovl_En_Bdfire rodata,True,48,48,1.0,0,0,0,,
72,ovl_En_Bdfire reloc,True,132,132,1.0,0,0,0,,
73,ovl_En_Boom text,False,1920,1920,1.0,0,1,1,0,1
73,ovl_En_Boom data,False,144,144,1.0,0,4,4,,
73,ovl_En_Boom rodata,True,32,32,1.0,0,0,0,,
73,ovl_En_Boom reloc,True,116,116,1.0,0,0,0,,
74,ovl_En_Torch2 text,False,8240,8240,1.0,0,196,190,0,190
74,ovl_En_Torch2 data,False,96,96,1.0,0,5,4,,
74,ovl_En_Torch2 rodata,True,32,32,1.0,0,0,0,,
74,ovl_En_Torch2 bss,True,64,64,1.0,0,0,0,,
74,ovl_En_Torch2 reloc,True,1628,1628,1.0,0,0,0,,
75,ovl_En_Bili text,False,7536,7536,1.0,0,85,82,0,82
75,ovl_En_Bili data,False,240,240,1.0,0,4,4,,
75,ovl_En_Bili rodata,True,208,208,1.0,0,0,0,,
75,ovl_En_Bili reloc,True,900,900,1.0,0,0,0,,
76,ovl_En_Tp text,False,7216,7216,1.0,0,4146,1190,991,199
76,ovl_En_Tp data,False,208,208,1.0,0,6,5,,
76,ovl_En_Tp rodata,True,32,32,1.0,0,0,0,,
76,ovl_En_Tp reloc,False,280,280,1.0,0,37,37,,
77,ovl_En_St text,False,9888,9888,1.0,0,69,67,0,67
77,ovl_En_St data,False,704,704,1.0,0,16,12,,
77,ovl_En_St rodata,True,32,32,1.0,0,0,0,,
77,ovl_En_St reloc,True,716,716,1.0,0,0,0,,
78,ovl_En_Bw text,False,11536,11536,1.0,0,70,58,0,58
78,ovl_En_Bw data,False,304,304,1.0,0,4,4,,
78,ovl_En_Bw rodata,False,336,336,1.0,0,11,8,,
78,ovl_En_Bw reloc,True,952,952,1.0,0,0,0,,
79,ovl_En_Eiyer text,False,6576,6576,1.0,0,56,50,0,50
79,ovl_En_Eiyer data,False,128,128,1.0,0,5,4,,
79,ovl_En_Eiyer rodata,True,48,48,1.0,0,0,0,,
79,ovl_En_Eiyer reloc,True,488,488,1.0,0,0,0,,
80,ovl_En_River_Sound text,False,2224,2224,1.0,0,22,16,0,16
80,ovl_En_River_Sound data,False,96,96,1.0,0,5,4,,
80,ovl_En_River_Sound rodata,True,16,16,1.0,0,0,0,,
80,ovl_En_River_Sound reloc,True,80,80,1.0,0,0,0,,
81,ovl_En_Horse_Normal text,False,8448,8448,1.0,0,85,71,0,71
81,ovl_En_Horse_Normal data,False,528,528,1.0,0,17,12,,
81,ovl_En_Horse_Normal rodata,True,96,96,1.0,0,0,0,,
81,ovl_En_Horse_Normal reloc,True,660,660,1.0,0,0,0,,
82,ovl_En_Ossan text,False,22496,22496,1.0,0,365,278,0,278
82,ovl_En_Ossan data,False,1584,1584,1.0,0,108,102,,
82,ovl_En_Ossan rodata,False,304,304,1.0,0,81,66,,
82,ovl_En_Ossan reloc,True,1672,1672,1.0,0,0,0,,
83,ovl_Bg_Treemouth text,False,2272,2272,1.0,0,49,38,0,38
83,ovl_Bg_Treemouth data,False,3008,3008,1.0,0,4,4,,
83,ovl_Bg_Treemouth rodata,True,64,64,1.0,0,0,0,,
83,ovl_Bg_Treemouth reloc,True,332,332,1.0,0,0,0,,
84,ovl_Bg_Dodoago text,False,2800,2800,1.0,0,32,25,0,25
84,ovl_Bg_Dodoago data,False,304,304,1.0,0,5,4,,
84,ovl_Bg_Dodoago bss,True,112,112,1.0,0,0,0,,
84,ovl_Bg_Dodoago reloc,True,156,156,1.0,0,0,0,,
85,ovl_Bg_Hidan_Dalm text,False,1648,1648,1.0,0,7,6,0,6
85,ovl_Bg_Hidan_Dalm data,False,320,320,1.0,0,6,5,,
85,ovl_Bg_Hidan_Dalm reloc,True,136,136,1.0,0,0,0,,
86,ovl_Bg_Hidan_Hrock text,False,1744,1744,1.0,0,3,3,0,3
86,ovl_Bg_Hidan_Hrock data,False,192,192,1.0,0,6,5,,
86,ovl_Bg_Hidan_Hrock rodata,True,16,16,1.0,0,0,0,,
86,ovl_Bg_Hidan_Hrock reloc,True,108,108,1.0,0,0,0,,
87,ovl_En_Horse_Ganon text,False,2880,2880,1.0,0,28,19,0,19
87,ovl_En_Horse_Ganon data,False,320,320,1.0,0,8,7,,
87,ovl_En_Horse_Ganon rodata,True,16,16,1.0,0,0,0,,
87,ovl_En_Horse_Ganon reloc,True,208,208,1.0,0,0,0,,
88,ovl_Bg_Hidan_Rock text,False,3776,3776,1.0,0,21,20,0,20
88,ovl_Bg_Hidan_Rock data,False,144,144,1.0,0,5,4,,
88,ovl_Bg_Hidan_Rock rodata,True,32,32,1.0,0,0,0,,
88,ovl_Bg_Hidan_Rock reloc,True,356,356,1.0,0,0,0,,
89,ovl_Bg_Hidan_Rsekizou text,False,2576,2576,1.0,0,7,6,0,6
89,ovl_Bg_Hidan_Rsekizou data,False,320,320,1.0,0,5,5,,
89,ovl_Bg_Hidan_Rsekizou rodata,True,16,16,1.0,0,0,0,,
89,ovl_Bg_Hidan_Rsekizou reloc,True,92,92,1.0,0,0,0,,
90,ovl_Bg_Hidan_Sekizou text,False,4704,4704,1.0,0,15,13,0,13
90,ovl_Bg_Hidan_Sekizou data,False,320,320,1.0,0,6,5,,
90,ovl_Bg_Hidan_Sekizou rodata,True,16,16,1.0,0,0,0,,
90,ovl_Bg_Hidan_Sekizou reloc,True,136,136,1.0,0,0,0,,
91,ovl_Bg_Hidan_Sima text,False,3440,3440,1.0,0,18,15,0,15
91,ovl_Bg_Hidan_Sima data,False,160,160,1.0,0,5,5,,
91,ovl_Bg_Hidan_Sima rodata,True,48,48,1.0,0,0,0,,
91,ovl_Bg_Hidan_Sima reloc,True,188,188,1.0,0,0,0,,
92,ovl_Bg_Hidan_Syoku text,False,944,944,1.0,0,6,6,0,6
92,ovl_Bg_Hidan_Syoku data,False,48,48,1.0,0,4,4,,
92,ovl_Bg_Hidan_Syoku rodata,True,16,16,1.0,0,0,0,,
