Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
739,object_ik,True,132560,132560,1.0,0,0
740,object_ahg,True,22960,22960,1.0,0,0
741,object_cne,True,10704,10704,1.0,0,0
742,object_gi_niwatori,True,6640,6640,1.0,0,0
743,object_skj,True,36400,36400,1.0,0,0
744,object_gi_bottle_letter,True,3200,3200,1.0,0,0
745,object_bji,True,16784,16784,1.0,0,0
746,object_bba,True,17040,17040,1.0,0,0
747,object_gi_ocarina_0,True,3088,3088,1.0,0,0
748,object_ds,True,18304,18304,1.0,0,0
749,object_ane,True,28592,28592,1.0,0,0
750,object_boj,True,23744,23744,1.0,0,0
751,object_spot03_object,True,5728,5728,1.0,0,0
752,object_spot07_object,True,27952,27952,1.0,0,0
753,object_fz,True,13520,13520,1.0,0,0
754,object_bob,True,20256,20256,1.0,0,0
755,object_ge1,True,42160,42160,1.0,0,0
756,object_yabusame_point,True,3664,3664,1.0,0,0
757,object_gi_boots_2,True,7104,7104,1.0,0,0
758,object_gi_seed,True,2752,2752,1.0,0,0
759,object_gnd_magic,True,4736,4736,1.0,0,0
760,object_d_elevator,True,5008,5008,1.0,0,0
761,object_d_hsblock,True,5984,5984,1.0,0,0
762,object_d_lift,True,6144,6144,1.0,0,0
763,object_mamenoki,True,9952,9952,1.0,0,0
764,object_goroiwa,True,6304,6304,1.0,0,0
765,object_toryo,True,29024,29024,1.0,0,0
766,object_daiku,True,34928,34928,1.0,0,0
767,object_nwc,True,3488,3488,1.0,0,0
768,object_blkobj,True,80016,80016,1.0,0,0
769,object_gm,True,720,720,1.0,0,0
770,object_ms,True,15824,15824,1.0,0,0
771,object_hs,True,25200,25200,1.0,0,0
772,object_ingate,True,4592,4592,1.0,0,0
773,object_lightswitch,True,9248,9248,1.0,0,0
774,object_kusa,True,896,896,1.0,0,0
775,object_tsubo,True,6640,6640,1.0,0,0
776,object_gi_gloves,True,6496,6496,1.0,0,0
777,object_gi_coin,True,2128,2128,1.0,0,0
778,object_kanban,True,6064,6064,1.0,0,0
779,object_gjyo_objects,True,5616,5616,1.0,0,0
780,object_owl,True,65728,65728,1.0,0,0
781,object_mk,True,24064,24064,1.0,0,0
782,object_fu,True,27808,27808,1.0,0,0
783,object_gi_ki_tan_mask,True,3568,3568,1.0,0,0
784,object_gi_redead_mask,True,2704,2704,1.0,0,0
785,object_gi_skj_mask,True,3296,3296,1.0,0,0
786,object_gi_rabit_mask,True,3840,3840,1.0,0,0
787,object_gi_truth_mask,True,6240,6240,1.0,0,0
