extracting baserom/ovl_En_Vali (0x00CA8750, 0x00CAADF0)
extracting baserom/ovl_Bg_Mizu_Movebg (0x00CAADF0, 0x00CABF80)
extracting baserom/ovl_Bg_Mizu_Water (0x00CABF80, 0x00CACC50)
extracting baserom/ovl_Arms_Hook (0x00CACC50, 0x00CAD9B0)
extracting baserom/ovl_En_fHG (0x00CAD9B0, 0x00CB02E0)
extracting baserom/ovl_Bg_Mori_Hineri (0x00CB02E0, 0x00CB0FB0)
extracting baserom/ovl_En_Bb (0x00CB0FB0, 0x00CB4C80)
extracting baserom/ovl_Bg_Toki_Hikari (0x00CB4C80, 0x00CB5A20)
extracting baserom/ovl_En_Yukabyun (0x00CB5A20, 0x00CB6030)
extracting baserom/ovl_Bg_Toki_Swd (0x00CB6030, 0x00CB7680)
extracting baserom/ovl_En_Fhg_Fire (0x00CB7680, 0x00CB9CA0)
extracting baserom/ovl_Bg_Mjin (0x00CB9CA0, 0x00CBA080)
extracting baserom/ovl_Bg_Hidan_Kousi (0x00CBA080, 0x00CBA600)
extracting baserom/ovl_Door_Toki (0x00CBA600, 0x00CBA760)
extracting baserom/ovl_Bg_Hidan_Hamstep (0x00CBA760, 0x00CBB5F0)
extracting baserom/ovl_En_Bird (0x00CBB5F0, 0x00CBBAB0)
extracting baserom/ovl_En_Wood02 (0x00CBBAB0, 0x00CBCC80)
extracting baserom/ovl_En_Lightbox (0x00CBCC80, 0x00CBD100)
extracting baserom/ovl_En_Pu_box (0x00CBD100, 0x00CBD440)
extracting baserom/ovl_En_Trap (0x00CBD440, 0x00CBE6E0)
extracting baserom/ovl_En_Arow_Trap (0x00CBE6E0, 0x00CBE830)
extracting baserom/ovl_En_Vase (0x00CBE830, 0x00CBE930)
extracting baserom/ovl_En_Ta (0x00CBE930, 0x00CC22F0)
extracting baserom/ovl_En_Tk (0x00CC22F0, 0x00CC4120)
extracting baserom/ovl_Bg_Mori_Bigst (0x00CC4120, 0x00CC4A50)
extracting baserom/ovl_Bg_Mori_Elevator (0x00CC4A50, 0x00CC5540)
extracting baserom/ovl_Bg_Mori_Kaitenkabe (0x00CC5540, 0x00CC5BA0)
extracting baserom/ovl_Bg_Mori_Rakkatenjo (0x00CC5BA0, 0x00CC6510)
extracting baserom/ovl_En_Vm (0x00CC6510, 0x00CC7DC0)
extracting baserom/ovl_Demo_Effect (0x00CC7DC0, 0x00CCD8C0)
extracting baserom/ovl_Demo_Kankyo (0x00CCD8C0, 0x00CD1550)
extracting baserom/ovl_Bg_Hidan_Fwbig (0x00CD1550, 0x00CD2230)
extracting baserom/ovl_En_Floormas (0x00CD2230, 0x00CD5610)
extracting baserom/ovl_En_Heishi1 (0x00CD5610, 0x00CD6B20)
extracting baserom/ovl_En_Rd (0x00CD6B20, 0x00CD93D0)
extracting baserom/ovl_En_Po_Sisters (0x00CD93D0, 0x00CDE0C0)
extracting baserom/ovl_Bg_Heavy_Block (0x00CDE0C0, 0x00CDF9B0)
extracting baserom/ovl_Bg_Po_Event (0x00CDF9B0, 0x00CE17E0)
extracting baserom/ovl_Obj_Mure (0x00CE17E0, 0x00CE27F0)
extracting baserom/ovl_En_Sw (0x00CE27F0, 0x00CE5F80)
extracting baserom/ovl_Boss_Fd (0x00CE5F80, 0x00CED2B0)
extracting baserom/ovl_Object_Kankyo (0x00CED2B0, 0x00CF04D0)
extracting baserom/ovl_En_Du (0x00CF04D0, 0x00CF1F70)
extracting baserom/ovl_En_Fd (0x00CF1F70, 0x00CF4C00)
extracting baserom/ovl_En_Horse_Link_Child (0x00CF4C00, 0x00CF6A00)
extracting baserom/ovl_Door_Ana (0x00CF6A00, 0x00CF7070)
extracting baserom/ovl_Bg_Spot02_Objects (0x00CF7070, 0x00CF83C0)
extracting baserom/ovl_Bg_Haka (0x00CF83C0, 0x00CF8A80)
extracting baserom/ovl_Magic_Wind (0x00CF8A80, 0x00CFA780)
extracting baserom/ovl_Magic_Fire (0x00CFA780, 0x00CFCA50)
extracting baserom/ovl_En_Ru1 (0x00CFCA50, 0x00D040A0)
extracting baserom/ovl_Boss_Fd2 (0x00D040A0, 0x00D07DD0)
extracting baserom/ovl_En_Fd_Fire (0x00D07DD0, 0x00D08AE0)
extracting baserom/ovl_En_Dh (0x00D08AE0, 0x00D0A590)
extracting baserom/ovl_En_Dha (0x00D0A590, 0x00D0B500)
extracting baserom/ovl_En_Rl (0x00D0B500, 0x00D0C3E0)
extracting baserom/ovl_En_Encount1 (0x00D0C3E0, 0x00D0CF40)
extracting baserom/ovl_Demo_Du (0x00D0CF40, 0x00D10720)
extracting baserom/ovl_Demo_Im (0x00D10720, 0x00D14690)
extracting baserom/ovl_Demo_Tre_Lgt (0x00D14690, 0x00D14DA0)
extracting baserom/ovl_En_Fw (0x00D14DA0, 0x00D16550)
extracting baserom/ovl_Bg_Vb_Sima (0x00D16550, 0x00D16C60)
extracting baserom/ovl_En_Vb_Ball (0x00D16C60, 0x00D17E00)
extracting baserom/ovl_Bg_Haka_Megane (0x00D17E00, 0x00D18200)
extracting baserom/ovl_Bg_Haka_MeganeBG (0x00D18200, 0x00D188C0)
extracting baserom/ovl_Bg_Haka_Ship (0x00D188C0, 0x00D19300)
extracting baserom/ovl_Bg_Haka_Sgami (0x00D19300, 0x00D19F20)
extracting baserom/ovl_En_Heishi2 (0x00D19F20, 0x00D1C120)
extracting baserom/ovl_En_Encount2 (0x00D1C120, 0x00D1D350)
extracting baserom/ovl_En_Fire_Rock (0x00D1D350, 0x00D1E460)
extracting baserom/ovl_En_Brob (0x00D1E460, 0x00D1F550)
extracting baserom/ovl_Mir_Ray (0x00D1F550, 0x00D20E10)
extracting baserom/ovl_Bg_Spot09_Obj (0x00D20E10, 0x00D21320)
extracting baserom/ovl_Bg_Spot18_Obj (0x00D21320, 0x00D21BF0)
extracting baserom/ovl_Boss_Va (0x00D21BF0, 0x00D303E0)
extracting baserom/ovl_Bg_Haka_Tubo (0x00D303E0, 0x00D30E00)
extracting baserom/ovl_Bg_Haka_Trap (0x00D30E00, 0x00D323D0)
extracting baserom/ovl_Bg_Haka_Huta (0x00D323D0, 0x00D32E70)
extracting baserom/ovl_Bg_Haka_Zou (0x00D32E70, 0x00D34060)
extracting baserom/ovl_Bg_Spot17_Funen (0x00D34060, 0x00D342B0)
extracting baserom/ovl_En_Syateki_Itm (0x00D342B0, 0x00D35050)
extracting baserom/ovl_En_Syateki_Man (0x00D35050, 0x00D35E10)
extracting baserom/ovl_En_Tana (0x00D35E10, 0x00D360B0)
extracting baserom/ovl_En_Nb (0x00D360B0, 0x00D3A680)
extracting baserom/ovl_Boss_Mo (0x00D3A680, 0x00D45C20)
extracting baserom/ovl_En_Sb (0x00D45C20, 0x00D47060)
extracting baserom/ovl_En_Bigokuta (0x00D47060, 0x00D49B70)
extracting baserom/ovl_En_Karebaba (0x00D49B70, 0x00D4B460)
extracting baserom/ovl_Bg_Bdan_Objects (0x00D4B460, 0x00D4C730)
extracting baserom/ovl_Demo_Sa (0x00D4C730, 0x00D4F250)
extracting baserom/ovl_Demo_Go (0x00D4F250, 0x00D4FFB0)
extracting baserom/ovl_En_In (0x00D4FFB0, 0x00D52D10)
extracting baserom/ovl_En_Tr (0x00D52D10, 0x00D54610)
extracting baserom/ovl_Bg_Spot16_Bombstone (0x00D54610, 0x00D55B50)
extracting baserom/ovl_Bg_Hidan_Kowarerukabe (0x00D55B50, 0x00D56A20)
extracting baserom/ovl_Bg_Bombwall (0x00D56A20, 0x00D572E0)
extracting baserom/ovl_En_Ru2 (0x00D572E0, 0x00D5A060)
extracting baserom/ovl_Obj_Dekujr (0x00D5A060, 0x00D5A6A0)
extracting baserom/ovl_Bg_Mizu_Uzu (0x00D5A6A0, 0x00D5A870)
extracting baserom/ovl_Bg_Spot06_Objects (0x00D5A870, 0x00D5BC80)
extracting baserom/ovl_Bg_Ice_Objects (0x00D5BC80, 0x00D5CBC0)
extracting baserom/ovl_Bg_Haka_Water (0x00D5CBC0, 0x00D5D3A0)
extracting baserom/ovl_En_Ma2 (0x00D5D3A0, 0x00D5E400)
extracting baserom/ovl_En_Bom_Chu (0x00D5E400, 0x00D5FAA0)
extracting baserom/ovl_En_Horse_Game_Check (0x00D5FAA0, 0x00D60B70)
extracting baserom/ovl_Boss_Tw (0x00D60B70, 0x00D73BF0)
extracting baserom/ovl_En_Rr (0x00D73BF0, 0x00D76110)
extracting baserom/ovl_En_Ba (0x00D76110, 0x00D77FE0)
extracting baserom/ovl_En_Bx (0x00D77FE0, 0x00D78AD0)
extracting baserom/ovl_En_Anubice (0x00D78AD0, 0x00D79D80)
extracting baserom/ovl_En_Anubice_Fire (0x00D79D80, 0x00D7AB40)
extracting baserom/ovl_Bg_Mori_Hashigo (0x00D7AB40, 0x00D7B400)
extracting baserom/ovl_Bg_Mori_Hashira4 (0x00D7B400, 0x00D7B980)
extracting baserom/ovl_Bg_Mori_Idomizu (0x00D7B980, 0x00D7BFC0)
extracting baserom/ovl_Bg_Spot16_Doughnut (0x00D7BFC0, 0x00D7C570)
extracting baserom/ovl_Bg_Bdan_Switch (0x00D7C570, 0x00D7D9A0)
extracting baserom/ovl_En_Ma1 (0x00D7D9A0, 0x00D7EC80)
extracting baserom/ovl_Boss_Ganon (0x00D7EC80, 0x00DA0EF0)
extracting baserom/ovl_Boss_Sst (0x00DA0EF0, 0x00DAD410)
extracting baserom/ovl_En_Ny (0x00DAD410, 0x00DAED40)
extracting baserom/ovl_En_Fr (0x00DAED40, 0x00DB17D0)
extracting baserom/ovl_Item_Shield (0x00DB17D0, 0x00DB21E0)
extracting baserom/ovl_Bg_Ice_Shelter (0x00DB21E0, 0x00DB3410)
extracting baserom/ovl_En_Ice_Hono (0x00DB3410, 0x00DB4600)
extracting baserom/ovl_Item_Ocarina (0x00DB4600, 0x00DB4DD0)
extracting baserom/ovl_Magic_Dark (0x00DB4DD0, 0x00DB6620)
extracting baserom/ovl_Demo_6K (0x00DB6620, 0x00DB9330)
extracting baserom/ovl_En_Anubice_Tag (0x00DB9330, 0x00DB9600)
extracting baserom/ovl_Bg_Haka_Gate (0x00DB9600, 0x00DBA680)
extracting baserom/ovl_Bg_Spot15_Saku (0x00DBA680, 0x00DBA9C0)
extracting baserom/ovl_Bg_Jya_Goroiwa (0x00DBA9C0, 0x00DBB140)
extracting baserom/ovl_Bg_Jya_Zurerukabe (0x00DBB140, 0x00DBB7F0)
extracting baserom/ovl_Bg_Jya_Cobra (0x00DBB7F0, 0x00DBD510)
extracting baserom/ovl_Bg_Jya_Kanaami (0x00DBD510, 0x00DBD8C0)
extracting baserom/ovl_Fishing (0x00DBD8C0, 0x00DD1270)
extracting baserom/ovl_Obj_Oshihiki (0x00DD1270, 0x00DD2D20)
extracting baserom/ovl_Bg_Gate_Shutter (0x00DD2D20, 0x00DD31A0)
extracting baserom/ovl_Eff_Dust (0x00DD31A0, 0x00DD4580)
extracting baserom/ovl_Bg_Spot01_Fusya (0x00DD4580, 0x00DD4820)
extracting baserom/ovl_Bg_Spot01_Idohashira (0x00DD4820, 0x00DD5420)
extracting baserom/ovl_Bg_Spot01_Idomizu (0x00DD5420, 0x00DD5730)
extracting baserom/ovl_Bg_Po_Syokudai (0x00DD5730, 0x00DD6080)
extracting baserom/ovl_Bg_Ganon_Otyuka (0x00DD6080, 0x00DD86C0)
extracting baserom/ovl_Bg_Spot15_Rrbox (0x00DD86C0, 0x00DD94A0)
extracting baserom/ovl_Bg_Umajump (0x00DD94A0, 0x00DD9630)
extracting baserom/ovl_En_Insect (0x00DD9630, 0x00DDBAF0)
extracting baserom/ovl_En_Butte (0x00DDBAF0, 0x00DDD0C0)
extracting baserom/ovl_En_Fish (0x00DDD0C0, 0x00DDF1D0)
extracting baserom/ovl_Bg_Spot08_Iceblock (0x00DDF1D0, 0x00DE0210)
extracting baserom/ovl_Item_Etcetera (0x00DE0210, 0x00DE0AE0)
extracting baserom/ovl_Arrow_Fire (0x00DE0AE0, 0x00DE29A0)
extracting baserom/ovl_Arrow_Ice (0x00DE29A0, 0x00DE4880)
extracting baserom/ovl_Arrow_Light (0x00DE4880, 0x00DE6770)
extracting baserom/ovl_Obj_Kibako (0x00DE6770, 0x00DE7470)
extracting baserom/ovl_Obj_Tsubo (0x00DE7470, 0x00DE8460)
extracting baserom/ovl_En_Wonder_Item (0x00DE8460, 0x00DE90B0)
extracting baserom/ovl_En_Ik (0x00DE90B0, 0x00DED6E0)
extracting baserom/ovl_Demo_Ik (0x00DED6E0, 0x00DEEBF0)
extracting baserom/ovl_En_Skj (0x00DEEBF0, 0x00DF2450)
extracting baserom/ovl_En_Skjneedle (0x00DF2450, 0x00DF2760)
extracting baserom/ovl_En_G_Switch (0x00DF2760, 0x00DF3F90)
extracting baserom/ovl_Demo_Ext (0x00DF3F90, 0x00DF48D0)
extracting baserom/ovl_Demo_Shd (0x00DF48D0, 0x00DF6CE0)
extracting baserom/ovl_En_Dns (0x00DF6CE0, 0x00DF8070)
extracting baserom/ovl_Elf_Msg (0x00DF8070, 0x00DF8660)
extracting baserom/ovl_En_Honotrap (0x00DF8660, 0x00DF9BB0)
extracting baserom/ovl_En_Tubo_Trap (0x00DF9BB0, 0x00DFA850)
extracting baserom/ovl_Obj_Ice_Poly (0x00DFA850, 0x00DFB200)
extracting baserom/ovl_Bg_Spot03_Taki (0x00DFB200, 0x00DFBAF0)
extracting baserom/ovl_Bg_Spot07_Taki (0x00DFBAF0, 0x00DFC0B0)
extracting baserom/ovl_En_Fz (0x00DFC0B0, 0x00DFE0C0)
extracting baserom/ovl_En_Po_Relay (0x00DFE0C0, 0x00DFF7D0)
extracting baserom/ovl_Bg_Relay_Objects (0x00DFF7D0, 0x00DFFF80)
extracting baserom/ovl_En_Diving_Game (0x00DFFF80, 0x00E01920)
extracting baserom/ovl_En_Kusa (0x00E01920, 0x00E02E00)
extracting baserom/ovl_Obj_Bean (0x00E02E00, 0x00E05590)
extracting baserom/ovl_Obj_Bombiwa (0x00E05590, 0x00E05B00)
extracting baserom/ovl_Obj_Switch (0x00E05B00, 0x00E078C0)
extracting baserom/ovl_Obj_Elevator (0x00E078C0, 0x00E07C80)
extracting baserom/ovl_Obj_Lift (0x00E07C80, 0x00E086A0)
extracting baserom/ovl_Obj_Hsblock (0x00E086A0, 0x00E08C70)
extracting baserom/ovl_En_Okarina_Tag (0x00E08C70, 0x00E0A150)
extracting baserom/ovl_En_Yabusame_Mark (0x00E0A150, 0x00E0A820)
extracting baserom/ovl_En_Goroiwa (0x00E0A820, 0x00E0CBE0)
extracting baserom/ovl_En_Ex_Ruppy (0x00E0CBE0, 0x00E0DCA0)
extracting baserom/ovl_En_Toryo (0x00E0DCA0, 0x00E0E930)
extracting baserom/ovl_En_Daiku (0x00E0E930, 0x00E10070)
extracting baserom/ovl_En_Nwc (0x00E10070, 0x00E10AB0)
extracting baserom/ovl_En_Blkobj (0x00E10AB0, 0x00E11010)
extracting baserom/ovl_Item_Inbox (0x00E11010, 0x00E11170)
extracting baserom/ovl_En_Ge1 (0x00E11170, 0x00E131A0)
extracting baserom/ovl_Obj_Blockstop (0x00E131A0, 0x00E13340)
extracting baserom/ovl_En_Sda (0x00E13340, 0x00E14980)
extracting baserom/ovl_En_Clear_Tag (0x00E14980, 0x00E1D4F0)
extracting baserom/ovl_En_Niw_Lady (0x00E1D4F0, 0x00E1EDD0)
extracting baserom/ovl_En_Gm (0x00E1EDD0, 0x00E1FB00)
extracting baserom/ovl_En_Ms (0x00E1FB00, 0x00E201F0)
extracting baserom/ovl_En_Hs (0x00E201F0, 0x00E20D90)
extracting baserom/ovl_Bg_Ingate (0x00E20D90, 0x00E21120)
extracting baserom/ovl_En_Kanban (0x00E21120, 0x00E24270)
extracting baserom/ovl_En_Heishi3 (0x00E24270, 0x00E24C40)
extracting baserom/ovl_En_Syateki_Niw (0x00E24C40, 0x00E26CD0)
extracting baserom/ovl_En_Attack_Niw (0x00E26CD0, 0x00E27F30)
extracting baserom/ovl_Bg_Spot01_Idosoko (0x00E27F30, 0x00E28140)
extracting baserom/ovl_En_Sa (0x00E28140, 0x00E2A3B0)
extracting baserom/ovl_En_Wonder_Talk (0x00E2A3B0, 0x00E2AA40)
extracting baserom/ovl_Bg_Gjyo_Bridge (0x00E2AA40, 0x00E2AF40)
extracting baserom/ovl_En_Ds (0x00E2AF40, 0x00E2BB60)
extracting baserom/ovl_En_Mk (0x00E2BB60, 0x00E2C9F0)
extracting baserom/ovl_En_Bom_Bowl_Man (0x00E2C9F0, 0x00E2DF30)
extracting baserom/ovl_En_Bom_Bowl_Pit (0x00E2DF30, 0x00E2E890)
extracting baserom/ovl_En_Owl (0x00E2E890, 0x00E32430)
extracting baserom/ovl_En_Ishi (0x00E32430, 0x00E3B580)
extracting baserom/ovl_Obj_Hana (0x00E3B580, 0x00E3B890)
extracting baserom/ovl_Obj_Lightswitch (0x00E3B890, 0x00E3CCC0)
extracting baserom/ovl_Obj_Mure2 (0x00E3CCC0, 0x00E3D6E0)
extracting baserom/ovl_En_Go (0x00E3D6E0, 0x00E41D20)
extracting baserom/ovl_En_Fu (0x00E41D20, 0x00E42A60)
extracting baserom/ovl_En_Changer (0x00E42A60, 0x00E43440)
extracting baserom/ovl_Bg_Jya_Megami (0x00E43440, 0x00E44620)
extracting baserom/ovl_Bg_Jya_Lift (0x00E44620, 0x00E44B70)
extracting baserom/ovl_Bg_Jya_Bigmirror (0x00E44B70, 0x00E453B0)
extracting baserom/ovl_Bg_Jya_Bombchuiwa (0x00E453B0, 0x00E45EE0)
extracting baserom/ovl_Bg_Jya_Amishutter (0x00E45EE0, 0x00E46270)
extracting baserom/ovl_Bg_Jya_Bombiwa (0x00E46270, 0x00E46830)
extracting baserom/ovl_Bg_Spot18_Basket (0x00E46830, 0x00E47820)
extracting baserom/ovl_En_Ganon_Organ (0x00E47820, 0x00E4E820)
extracting baserom/ovl_En_Siofuki (0x00E4E820, 0x00E4F5D0)
extracting baserom/ovl_En_Stream (0x00E4F5D0, 0x00E4FB60)
extracting baserom/ovl_En_Mm (0x00E4FB60, 0x00E51180)
extracting baserom/ovl_En_Ko (0x00E51180, 0x00E552C0)
extracting baserom/ovl_En_Kz (0x00E552C0, 0x00E567D0)
extracting baserom/ovl_En_Weather_Tag (0x00E567D0, 0x00E576C0)
extracting baserom/ovl_Bg_Sst_Floor (0x00E576C0, 0x00E57C20)
extracting baserom/ovl_En_Ani (0x00E57C20, 0x00E58950)
extracting baserom/ovl_En_Ex_Item (0x00E58950, 0x00E59AD0)
extracting baserom/ovl_Bg_Jya_Ironobj (0x00E59AD0, 0x00E5A880)
extracting baserom/ovl_En_Js (0x00E5A880, 0x00E5B250)
extracting baserom/ovl_En_Jsjutan (0x00E5B250, 0x00E60010)
extracting baserom/ovl_En_Cs (0x00E60010, 0x00E61240)
extracting baserom/ovl_En_Md (0x00E61240, 0x00E638B0)
extracting baserom/ovl_En_Hy (0x00E638B0, 0x00E67200)
extracting baserom/ovl_En_Ganon_Mant (0x00E67200, 0x00E6B420)
extracting baserom/ovl_En_Okarina_Effect (0x00E6B420, 0x00E6B7D0)
extracting baserom/ovl_En_Mag (0x00E6B7D0, 0x00E6E6E0)
extracting baserom/ovl_Door_Gerudo (0x00E6E6E0, 0x00E6ECD0)
extracting baserom/ovl_Elf_Msg2 (0x00E6ECD0, 0x00E6F140)
extracting baserom/ovl_Demo_Gt (0x00E6F140, 0x00E74740)
