Extracting baserom with 4 CPU cores.
extracting baserom/ovl_Bg_Spot12_Gate (0x00C81C90, 0x00C82120)
extracting baserom/ovl_Bg_Spot12_Saku (0x00C82120, 0x00C82660)
extracting baserom/ovl_Bg_Spot15_Rrbox (0x00C82660, 0x00C83550)
extracting baserom/ovl_Bg_Spot15_Saku (0x00C83550, 0x00C83930)
extracting baserom/ovl_Bg_Spot16_Bombstone (0x00C83930, 0x00C85140)
extracting baserom/ovl_Bg_Spot16_Doughnut (0x00C85140, 0x00C858C0)
extracting baserom/ovl_Bg_Spot17_Bakudankabe (0x00C858C0, 0x00C86100)
extracting baserom/ovl_Bg_Spot17_Funen (0x00C86100, 0x00C86410)
extracting baserom/ovl_Bg_Spot18_Basket (0x00C86410, 0x00C87480)
extracting baserom/ovl_Bg_Spot18_Futa (0x00C87480, 0x00C87610)
extracting baserom/ovl_Bg_Spot18_Obj (0x00C87610, 0x00C880D0)
extracting baserom/ovl_Bg_Spot18_Shutter (0x00C880D0, 0x00C88610)
extracting baserom/ovl_Bg_Sst_Floor (0x00C88610, 0x00C88C00)
extracting baserom/ovl_Bg_Toki_Hikari (0x00C88C00, 0x00C89B40)
extracting baserom/ovl_Bg_Toki_Swd (0x00C89B40, 0x00C8B200)
extracting baserom/ovl_Bg_Treemouth (0x00C8B200, 0x00C8C8E0)
extracting baserom/ovl_Bg_Umajump (0x00C8C8E0, 0x00C8CA60)
extracting baserom/ovl_Bg_Vb_Sima (0x00C8CA60, 0x00C8D200)
extracting baserom/ovl_Bg_Ydan_Hasi (0x00C8D200, 0x00C8DA40)
extracting baserom/ovl_Bg_Ydan_Maruta (0x00C8DA40, 0x00C8E110)
extracting baserom/ovl_Bg_Ydan_Sp (0x00C8E110, 0x00C8F920)
extracting baserom/ovl_Bg_Zg (0x00C8F920, 0x00C8FE90)
extracting baserom/ovl_Boss_Dodongo (0x00C8FE90, 0x00C99AC0)
extracting baserom/ovl_Boss_Fd (0x00C99AC0, 0x00CA1370)
extracting baserom/ovl_Boss_Fd2 (0x00CA1370, 0x00CA5570)
extracting baserom/ovl_Boss_Ganon (0x00CA5570, 0x00CC80C0)
extracting baserom/ovl_Boss_Ganon2 (0x00CC80C0, 0x00CD9CA0)
extracting baserom/ovl_Boss_Ganondrof (0x00CD9CA0, 0x00CDF070)
extracting baserom/ovl_Boss_Goma (0x00CDF070, 0x00CE5160)
extracting baserom/ovl_Boss_Mo (0x00CE5160, 0x00CF1120)
