extracting baserom/ovl_En_Horse_Link_Child (0x00CF57A0, 0x00CF75A0)
extracting baserom/ovl_Door_Ana (0x00CF75A0, 0x00CF7C10)
extracting baserom/ovl_Bg_Spot02_Objects (0x00CF7C10, 0x00CF8F60)
extracting baserom/ovl_Bg_Haka (0x00CF8F60, 0x00CF9620)
extracting baserom/ovl_Magic_Wind (0x00CF9620, 0x00CFB320)
extracting baserom/ovl_Magic_Fire (0x00CFB320, 0x00CFD5F0)
extracting baserom/ovl_En_Ru1 (0x00CFD5F0, 0x00D04C90)
extracting baserom/ovl_Boss_Fd2 (0x00D04C90, 0x00D089C0)
extracting baserom/ovl_En_Fd_Fire (0x00D089C0, 0x00D096D0)
extracting baserom/ovl_En_Dh (0x00D096D0, 0x00D0B1A0)
extracting baserom/ovl_En_Dha (0x00D0B1A0, 0x00D0C1A0)
extracting baserom/ovl_En_Rl (0x00D0C1A0, 0x00D0D080)
extracting baserom/ovl_En_Encount1 (0x00D0D080, 0x00D0DBE0)
extracting baserom/ovl_Demo_Du (0x00D0DBE0, 0x00D113C0)
extracting baserom/ovl_Demo_Im (0x00D113C0, 0x00D15330)
extracting baserom/ovl_Demo_Tre_Lgt (0x00D15330, 0x00D15A40)
extracting baserom/ovl_En_Fw (0x00D15A40, 0x00D171F0)
extracting baserom/ovl_Bg_Vb_Sima (0x00D171F0, 0x00D17900)
extracting baserom/ovl_En_Vb_Ball (0x00D17900, 0x00D18AA0)
extracting baserom/ovl_Bg_Haka_Megane (0x00D18AA0, 0x00D18EA0)
extracting baserom/ovl_Bg_Haka_MeganeBG (0x00D18EA0, 0x00D19560)
extracting baserom/ovl_Bg_Haka_Ship (0x00D19560, 0x00D19FA0)
extracting baserom/ovl_Bg_Haka_Sgami (0x00D19FA0, 0x00D1ABC0)
extracting baserom/ovl_En_Heishi2 (0x00D1ABC0, 0x00D1CDC0)
extracting baserom/ovl_En_Encount2 (0x00D1CDC0, 0x00D1DFF0)
extracting baserom/ovl_En_Fire_Rock (0x00D1DFF0, 0x00D1F100)
extracting baserom/ovl_En_Brob (0x00D1F100, 0x00D201F0)
extracting baserom/ovl_Mir_Ray (0x00D201F0, 0x00D21AB0)
extracting baserom/ovl_Bg_Spot09_Obj (0x00D21AB0, 0x00D21FC0)
extracting baserom/ovl_Bg_Spot18_Obj (0x00D21FC0, 0x00D22890)
extracting baserom/ovl_Boss_Va (0x00D22890, 0x00D31080)
extracting baserom/ovl_Bg_Haka_Tubo (0x00D31080, 0x00D31AA0)
extracting baserom/ovl_Bg_Haka_Trap (0x00D31AA0, 0x00D33070)
extracting baserom/ovl_Bg_Haka_Huta (0x00D33070, 0x00D33B10)
extracting baserom/ovl_Bg_Haka_Zou (0x00D33B10, 0x00D34D00)
extracting baserom/ovl_Bg_Spot17_Funen (0x00D34D00, 0x00D34F50)
extracting baserom/ovl_En_Syateki_Itm (0x00D34F50, 0x00D35CF0)
extracting baserom/ovl_En_Syateki_Man (0x00D35CF0, 0x00D36AB0)
extracting baserom/ovl_En_Tana (0x00D36AB0, 0x00D36D50)
extracting baserom/ovl_En_Nb (0x00D36D50, 0x00D3B320)
extracting baserom/ovl_Boss_Mo (0x00D3B320, 0x00D468C0)
extracting baserom/ovl_En_Sb (0x00D468C0, 0x00D47D00)
extracting baserom/ovl_En_Bigokuta (0x00D47D00, 0x00D4A810)
extracting baserom/ovl_En_Karebaba (0x00D4A810, 0x00D4C100)
extracting baserom/ovl_Bg_Bdan_Objects (0x00D4C100, 0x00D4D3D0)
extracting baserom/ovl_Demo_Sa (0x00D4D3D0, 0x00D4FEF0)
extracting baserom/ovl_Demo_Go (0x00D4FEF0, 0x00D50C50)
extracting baserom/ovl_En_In (0x00D50C50, 0x00D539F0)
extracting baserom/ovl_En_Tr (0x00D539F0, 0x00D552F0)
extracting baserom/ovl_Bg_Spot16_Bombstone (0x00D552F0, 0x00D56830)
extracting baserom/ovl_Bg_Hidan_Kowarerukabe (0x00D56830, 0x00D57700)
extracting baserom/ovl_Bg_Bombwall (0x00D57700, 0x00D57FC0)
extracting baserom/ovl_En_Ru2 (0x00D57FC0, 0x00D5AD40)
extracting baserom/ovl_Obj_Dekujr (0x00D5AD40, 0x00D5B380)
extracting baserom/ovl_Bg_Mizu_Uzu (0x00D5B380, 0x00D5B550)
extracting baserom/ovl_Bg_Spot06_Objects (0x00D5B550, 0x00D5C960)
extracting baserom/ovl_Bg_Ice_Objects (0x00D5C960, 0x00D5D8A0)
extracting baserom/ovl_Bg_Haka_Water (0x00D5D8A0, 0x00D5E080)
extracting baserom/ovl_En_Ma2 (0x00D5E080, 0x00D5F0E0)
extracting baserom/ovl_En_Bom_Chu (0x00D5F0E0, 0x00D60780)
extracting baserom/ovl_En_Horse_Game_Check (0x00D60780, 0x00D61850)
extracting baserom/ovl_Boss_Tw (0x00D61850, 0x00D748D0)
extracting baserom/ovl_En_Rr (0x00D748D0, 0x00D76E00)
extracting baserom/ovl_En_Ba (0x00D76E00, 0x00D78CD0)
extracting baserom/ovl_En_Bx (0x00D78CD0, 0x00D797C0)
extracting baserom/ovl_En_Anubice (0x00D797C0, 0x00D7AA70)
extracting baserom/ovl_En_Anubice_Fire (0x00D7AA70, 0x00D7B830)
extracting baserom/ovl_Bg_Mori_Hashigo (0x00D7B830, 0x00D7C0F0)
extracting baserom/ovl_Bg_Mori_Hashira4 (0x00D7C0F0, 0x00D7C670)
extracting baserom/ovl_Bg_Mori_Idomizu (0x00D7C670, 0x00D7CCB0)
extracting baserom/ovl_Bg_Spot16_Doughnut (0x00D7CCB0, 0x00D7D260)
extracting baserom/ovl_Bg_Bdan_Switch (0x00D7D260, 0x00D7E690)
extracting baserom/ovl_En_Ma1 (0x00D7E690, 0x00D7F970)
extracting baserom/ovl_Boss_Ganon (0x00D7F970, 0x00DA1BD0)
extracting baserom/ovl_Boss_Sst (0x00DA1BD0, 0x00DAE0F0)
extracting baserom/ovl_En_Ny (0x00DAE0F0, 0x00DAFA20)
extracting baserom/ovl_En_Fr (0x00DAFA20, 0x00DB24B0)
extracting baserom/ovl_Item_Shield (0x00DB24B0, 0x00DB2EC0)
extracting baserom/ovl_Bg_Ice_Shelter (0x00DB2EC0, 0x00DB40F0)
extracting baserom/ovl_En_Ice_Hono (0x00DB40F0, 0x00DB52E0)
extracting baserom/ovl_Item_Ocarina (0x00DB52E0, 0x00DB5AB0)
extracting baserom/ovl_Magic_Dark (0x00DB5AB0, 0x00DB7300)
extracting baserom/ovl_Demo_6K (0x00DB7300, 0x00DBA010)
extracting baserom/ovl_En_Anubice_Tag (0x00DBA010, 0x00DBA2E0)
extracting baserom/ovl_Bg_Haka_Gate (0x00DBA2E0, 0x00DBB360)
extracting baserom/ovl_Bg_Spot15_Saku (0x00DBB360, 0x00DBB6A0)
extracting baserom/ovl_Bg_Jya_Goroiwa (0x00DBB6A0, 0x00DBBE20)
extracting baserom/ovl_Bg_Jya_Zurerukabe (0x00DBBE20, 0x00DBC4D0)
extracting baserom/ovl_Bg_Jya_Cobra (0x00DBC4D0, 0x00DBE1F0)
extracting baserom/ovl_Bg_Jya_Kanaami (0x00DBE1F0, 0x00DBE5A0)
extracting baserom/ovl_Fishing (0x00DBE5A0, 0x00DD1F50)
extracting baserom/ovl_Obj_Oshihiki (0x00DD1F50, 0x00DD3A00)
extracting baserom/ovl_Bg_Gate_Shutter (0x00DD3A00, 0x00DD3E80)
extracting baserom/ovl_Eff_Dust (0x00DD3E80, 0x00DD5260)
extracting baserom/ovl_Bg_Spot01_Fusya (0x00DD5260, 0x00DD5500)
extracting baserom/ovl_Bg_Spot01_Idohashira (0x00DD5500, 0x00DD6100)
extracting baserom/ovl_Bg_Spot01_Idomizu (0x00DD6100, 0x00DD6410)
extracting baserom/ovl_Bg_Po_Syokudai (0x00DD6410, 0x00DD6D60)
extracting baserom/ovl_Bg_Ganon_Otyuka (0x00DD6D60, 0x00DD93A0)
extracting baserom/ovl_Bg_Spot15_Rrbox (0x00DD93A0, 0x00DDA180)
extracting baserom/ovl_Bg_Umajump (0x00DDA180, 0x00DDA310)
extracting baserom/ovl_En_Insect (0x00DDA310, 0x00DDC830)
extracting baserom/ovl_En_Butte (0x00DDC830, 0x00DDDE00)
extracting baserom/ovl_En_Fish (0x00DDDE00, 0x00DDFF10)
extracting baserom/ovl_Bg_Spot08_Iceblock (0x00DDFF10, 0x00DE0F50)
extracting baserom/ovl_Item_Etcetera (0x00DE0F50, 0x00DE1820)
extracting baserom/ovl_Arrow_Fire (0x00DE1820, 0x00DE36E0)
extracting baserom/ovl_Arrow_Ice (0x00DE36E0, 0x00DE55C0)
extracting baserom/ovl_Arrow_Light (0x00DE55C0, 0x00DE74B0)
extracting baserom/ovl_Obj_Kibako (0x00DE74B0, 0x00DE81B0)
extracting baserom/ovl_Obj_Tsubo (0x00DE81B0, 0x00DE91A0)
extracting baserom/ovl_En_Wonder_Item (0x00DE91A0, 0x00DE9DF0)
extracting baserom/ovl_En_Ik (0x00DE9DF0, 0x00DEE410)
extracting baserom/ovl_Demo_Ik (0x00DEE410, 0x00DEF920)
extracting baserom/ovl_En_Skj (0x00DEF920, 0x00DF3250)
extracting baserom/ovl_En_Skjneedle (0x00DF3250, 0x00DF3560)
extracting baserom/ovl_En_G_Switch (0x00DF3560, 0x00DF4D90)
extracting baserom/ovl_Demo_Ext (0x00DF4D90, 0x00DF56D0)
extracting baserom/ovl_Demo_Shd (0x00DF56D0, 0x00DF7AE0)
