Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
178,ovl_Demo_Effect,False,23296,25664,0.908,-2368,20728
179,ovl_Demo_Ext,False,2368,2736,0.865,-368,1987
180,ovl_Demo_Geff,False,2080,2800,0.743,-720,1862
181,ovl_Demo_Gj,False,15536,16192,0.959,-656,12961
182,ovl_Demo_Go,False,3424,3584,0.955,-160,2923
183,ovl_Demo_Gt,False,22016,23696,0.929,-1680,19104
184,ovl_Demo_Ik,False,5392,6368,0.847,-976,4595
185,ovl_Demo_Im,False,16240,17056,0.952,-816,13547
186,ovl_Demo_Kankyo,False,15536,16640,0.934,-1104,13198
187,ovl_Demo_Kekkai,False,4832,5264,0.918,-432,4210
188,ovl_Demo_Sa,False,11040,11728,0.941,-688,9106
189,ovl_Demo_Shd,False,9232,9360,0.986,-128,6063
190,ovl_Demo_Tre_Lgt,False,1808,2096,0.863,-288,986
191,ovl_Door_Ana,False,1648,1776,0.928,-128,1428
192,ovl_Door_Gerudo,False,1520,1648,0.922,-128,1288
193,ovl_Door_Killer,False,5488,5712,0.961,-224,4844
194,ovl_Door_Shutter,False,8832,9088,0.972,-256,7667
195,ovl_Door_Toki,False,352,352,1.0,0,213
196,ovl_Door_Warp1,False,17056,17696,0.964,-640,14650
197,ovl_Efc_Erupc,False,2784,3104,0.897,-320,2384
198,ovl_Eff_Dust,False,5088,5344,0.952,-256,4222
199,ovl_Effect_Ss_Blast,False,912,1024,0.891,-112,493
200,ovl_Effect_Ss_Bomb,False,1056,1184,0.892,-128,801
201,ovl_Effect_Ss_Bomb2,False,2352,2544,0.925,-192,1939
202,ovl_Effect_Ss_Bubble,False,1152,1296,0.889,-144,1006
203,ovl_Effect_Ss_D_Fire,False,1264,1360,0.929,-96,1068
204,ovl_Effect_Ss_Dead_Db,False,1248,1344,0.929,-96,863
205,ovl_Effect_Ss_Dead_Dd,False,1424,1584,0.899,-160,757
206,ovl_Effect_Ss_Dead_Ds,False,1152,1312,0.878,-160,789
207,ovl_Effect_Ss_Dead_Sound,False,320,384,0.833,-64,253
208,ovl_Effect_Ss_Dt_Bubble,False,1424,1568,0.908,-144,751
209,ovl_Effect_Ss_Dust,False,2096,2192,0.956,-96,1562
210,ovl_Effect_Ss_En_Fire,False,1856,2000,0.928,-144,1323
211,ovl_Effect_Ss_En_Ice,False,2240,2448,0.915,-208,1655
212,ovl_Effect_Ss_Extra,False,960,1120,0.857,-160,785
213,ovl_Effect_Ss_Fcircle,False,1200,1344,0.893,-144,863
214,ovl_Effect_Ss_Fhg_Flash,False,3968,4320,0.919,-352,2709
215,ovl_Effect_Ss_Fire_Tail,False,1792,1936,0.926,-144,1409
216,ovl_Effect_Ss_G_Fire,False,656,640,1.025,16,400
217,ovl_Effect_Ss_G_Magma,False,608,592,1.027,16,347
