Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
155,ovl_Bg_Toki_Hikari,False,3488,3904,0.893,-416,2878
156,ovl_Bg_Toki_Swd,False,5712,5824,0.981,-112,2682
157,ovl_Bg_Treemouth,False,5728,5856,0.978,-128,4046
158,ovl_Bg_Umajump,False,400,384,1.042,16,302
159,ovl_Bg_Vb_Sima,False,1824,1952,0.934,-128,1540
160,ovl_Bg_Ydan_Hasi,False,1968,2112,0.932,-144,1698
161,ovl_Bg_Ydan_Maruta,False,1760,1744,1.009,16,1373
162,ovl_Bg_Ydan_Sp,False,5920,6160,0.961,-240,5010
163,ovl_Bg_Zg,False,1104,1392,0.793,-288,808
164,ovl_Boss_Dodongo,False,39680,39984,0.992,-304,34632
165,ovl_Boss_Fd,False,29536,30896,0.956,-1360,25852
166,ovl_Boss_Fd2,False,15664,16896,0.927,-1232,13277
167,ovl_Boss_Ganon,False,139952,142160,0.984,-2208,124368
168,ovl_Boss_Ganon2,False,70480,72672,0.97,-2192,59605
169,ovl_Boss_Ganondrof,False,19856,21456,0.925,-1600,17006
170,ovl_Boss_Goma,False,24480,24816,0.986,-336,19484
171,ovl_Boss_Mo,False,47824,49088,0.974,-1264,38910
172,ovl_Boss_Sst,False,50576,50880,0.994,-304,44222
173,ovl_Boss_Tw,False,78160,80752,0.968,-2592,69095
174,ovl_Boss_Va,False,59536,60560,0.983,-1024,51553
175,ovl_Demo_6K,False,11616,12672,0.917,-1056,10481
176,ovl_Demo_Du,False,14304,14816,0.965,-512,11706
177,ovl_Demo_Ec,False,14432,15008,0.962,-576,11715
178,ovl_Demo_Effect,False,23456,25664,0.914,-2208,20750
179,ovl_Demo_Ext,False,2384,2736,0.871,-352,1995
180,ovl_Demo_Geff,False,2080,2800,0.743,-720,1865
181,ovl_Demo_Gj,False,15536,16192,0.959,-656,12800
182,ovl_Demo_Go,False,3408,3584,0.951,-176,2910
183,ovl_Demo_Gt,False,22032,23696,0.93,-1664,19205
184,ovl_Demo_Ik,False,5392,6368,0.847,-976,4589
185,ovl_Demo_Im,False,16240,17056,0.952,-816,13544
186,ovl_Demo_Kankyo,False,15520,16640,0.933,-1120,13211
