Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
146,ovl_Bg_Spot16_Bombstone,False,6320,6160,1.026,160,5526
147,ovl_Bg_Spot16_Doughnut,False,23296,1920,12.133,21376,1806
148,ovl_Bg_Spot17_Bakudankabe,False,15536,2112,7.356,13424,1929
149,ovl_Bg_Spot17_Funen,False,3296,784,4.204,2512,720
150,ovl_Bg_Spot18_Basket,False,13280,4208,3.156,9072,3871
151,ovl_Bg_Spot18_Futa,False,5392,400,13.48,4992,363
152,ovl_Bg_Spot18_Obj,False,10416,2752,3.785,7664,2491
153,ovl_Bg_Spot18_Shutter,False,19696,1344,14.655,18352,1212
154,ovl_Bg_Sst_Floor,False,6384,1520,4.2,4864,1379
155,ovl_Bg_Toki_Hikari,False,7728,3904,1.98,3824,3545
156,ovl_Bg_Toki_Swd,False,4112,5824,0.706,-1712,3475
157,ovl_Bg_Treemouth,False,14192,5856,2.423,8336,5225
158,ovl_Bg_Umajump,False,29488,384,76.792,29104,322
159,ovl_Bg_Vb_Sima,False,12832,1952,6.574,10880,1784
160,ovl_Bg_Ydan_Hasi,False,6816,2112,3.227,4704,1910
161,ovl_Bg_Ydan_Maruta,False,11456,1744,6.569,9712,1511
162,ovl_Bg_Ydan_Sp,False,7680,6160,1.247,1520,5609
163,ovl_Bg_Zg,False,1648,1392,1.184,256,1269
164,ovl_Boss_Dodongo,False,4944,39984,0.124,-35040,4563
165,ovl_Boss_Fd,False,1728,30896,0.056,-29168,1564
166,ovl_Boss_Fd2,False,7424,16896,0.439,-9472,7066
167,ovl_Boss_Ganon,False,8912,142160,0.063,-133248,8529
168,ovl_Boss_Ganon2,False,30368,72672,0.418,-42304,28069
169,ovl_Boss_Ganondrof,False,15664,21456,0.73,-5792,14476
170,ovl_Boss_Goma,False,3344,24816,0.135,-21472,3061
171,ovl_Boss_Mo,False,6864,49088,0.14,-42224,6374
172,ovl_Boss_Sst,False,4096,50880,0.081,-46784,3754
173,ovl_Boss_Tw,False,3808,80752,0.047,-76944,3349
174,ovl_Boss_Va,False,2912,60560,0.048,-57648,2633
175,ovl_Demo_6K,False,14304,12672,1.129,1632,11377
176,ovl_Demo_Du,False,16240,14816,1.096,1424,12685
177,ovl_Demo_Ec,False,1808,15008,0.12,-13200,1611
