extracting baserom/ovl_En_Rl (0x00D0BC70, 0x00D0CB50)
extracting baserom/ovl_En_Encount1 (0x00D0CB50, 0x00D0D6B0)
extracting baserom/ovl_Demo_Du (0x00D0D6B0, 0x00D10E90)
extracting baserom/ovl_Demo_Im (0x00D10E90, 0x00D14E00)
extracting baserom/ovl_Demo_Tre_Lgt (0x00D14E00, 0x00D15510)
extracting baserom/ovl_En_Fw (0x00D15510, 0x00D16CC0)
extracting baserom/ovl_Bg_Vb_Sima (0x00D16CC0, 0x00D173D0)
extracting baserom/ovl_En_Vb_Ball (0x00D173D0, 0x00D18570)
extracting baserom/ovl_Bg_Haka_Megane (0x00D18570, 0x00D18970)
extracting baserom/ovl_Bg_Haka_MeganeBG (0x00D18970, 0x00D19030)
extracting baserom/ovl_Bg_Haka_Ship (0x00D19030, 0x00D19A70)
extracting baserom/ovl_Bg_Haka_Sgami (0x00D19A70, 0x00D1A690)
extracting baserom/ovl_En_Heishi2 (0x00D1A690, 0x00D1C890)
extracting baserom/ovl_En_Encount2 (0x00D1C890, 0x00D1DAC0)
extracting baserom/ovl_En_Fire_Rock (0x00D1DAC0, 0x00D1EBD0)
extracting baserom/ovl_En_Brob (0x00D1EBD0, 0x00D1FCC0)
extracting baserom/ovl_Mir_Ray (0x00D1FCC0, 0x00D21580)
extracting baserom/ovl_Bg_Spot09_Obj (0x00D21580, 0x00D21A90)
extracting baserom/ovl_Bg_Spot18_Obj (0x00D21A90, 0x00D22360)
extracting baserom/ovl_Boss_Va (0x00D22360, 0x00D30B50)
extracting baserom/ovl_Bg_Haka_Tubo (0x00D30B50, 0x00D31570)
extracting baserom/ovl_Bg_Haka_Trap (0x00D31570, 0x00D32B40)
extracting baserom/ovl_Bg_Haka_Huta (0x00D32B40, 0x00D335E0)
extracting baserom/ovl_Bg_Haka_Zou (0x00D335E0, 0x00D347D0)
extracting baserom/ovl_Bg_Spot17_Funen (0x00D347D0, 0x00D34A20)
extracting baserom/ovl_En_Syateki_Itm (0x00D34A20, 0x00D357C0)
extracting baserom/ovl_En_Syateki_Man (0x00D357C0, 0x00D36580)
extracting baserom/ovl_En_Tana (0x00D36580, 0x00D36820)
extracting baserom/ovl_En_Nb (0x00D36820, 0x00D3ADF0)
extracting baserom/ovl_Boss_Mo (0x00D3ADF0, 0x00D46390)
extracting baserom/ovl_En_Sb (0x00D46390, 0x00D477D0)
extracting baserom/ovl_En_Bigokuta (0x00D477D0, 0x00D4A2E0)
extracting baserom/ovl_En_Karebaba (0x00D4A2E0, 0x00D4BBD0)
